시험명,시험일시,시작 시간,종료 시간,비고
TOEIC,2024-12-15,09:20,12:20,"정기접수 : 2024.10.28 (월) 오전 10시~2024.12.02 (월) 오전 10시 특별추가 : 2024.12.04 (수) 오전 10시~2024.12.12 (목) 오후 1시"
TOEIC,2024-12-29,09:20,12:20,"정기접수 : 2024.11.11 (월) 오전 10시~2024.12.16 (월) 오전 10시 특별추가 : 2024.12.18 (수) 오전 10시~2024.12.26 (목) 오후 1시"
TOEIC,2025-01-12,09:20,12:20,"정기접수 : 2024.11.25 (월) 오전 10시~2024.12.30 (월) 오전 10시 특별추가 : 2025.01.01 (수) 오전 10시~2025.01.09 (목) 오후 1시"
TOEIC,2024-01-26,09:20,12:20,"정기접수 : 2024.12.09 (월) 오전 10시~2025.01.13 (월) 오전 10시 특별추가 : 2025.01.15 (수) 오전 10시~2025.01.23 (목) 오후 1시"
TOEIC,2025-02-09,09:20,12:20,"정기접수 : 2024.12.23 (월) 오전 10시~2025.01.27 (월) 오전 10시 특별추가 : 2025.01.29 (수) 오전 10시~2025.02.06 (목) 오후 1시"
TOEIC,2025-02-15,09:20,12:20,"정기접수 : 2024.12.30 (월) 오전 10시~2025.02.03 (월) 오전 10시 특별추가 : 2025.02.05 (수) 오전 10시~2025.02.12 (수) 오후 1시"
TOEIC,2025-02-23,09:20,12:20,"정기접수 : 2025.01.06 (월) 오전 10시~2025.02.10 (월) 오전 10시 특별추가 : 2025.02.12 (수) 오전 10시~2025.02.20 (목) 오후 1시"
TOEIC,2025-03-09,09:20,12:20,"정기접수 : 2025.01.20 (월) 오전 10시~2025.02.24 (월) 오전 10시 특별추가 : 2025.02.26 (수) 오전 10시~2025.03.06 (목) 오후 1시"
TOEIC,2025-03-30,09:20,12:20,"정기접수 : 2025.02.10 (월) 오전 10시~2025.03.17 (월) 오전 10시 특별추가 : 2025.03.19 (수) 오전 10시~2025.03.27 (목) 오후 1시"
TOEIC,2025-04-13,09:20,12:20,"정기접수 : 2025.02.24 (월) 오전 10시~2025.03.31 (월) 오전 10시 특별추가 : 2025.04.02 (수) 오전 10시~2025.04.10 (목) 오후 1시"
TOEIC,2025-04-27,09:20,12:20,"정기접수 : 2025.03.10 (월) 오전 10시~2025.04.14 (월) 오전 10시 특별추가 : 2025.04.16 (수) 오전 10시~2025.04.24 (목) 오후 1시"
TOEIC,2025-05-11,09:20,12:20,"정기접수 : 2025.03.24 (월) 오전 10시~2025.04.28 (월) 오전 10시 특별추가 : 2025.04.30 (수) 오전 10시~2025.05.08 (목) 오후 1시"
